sender,receiver,number_of_characters,contains_urgent,contains_important,urgency_classification,send_date,send_time,claim_type,initial_priority,number_of_attachments,message_language
Assistant,Architect,50,False,False,not urgent and not important,2020-04-20,2020-04-20 02:57:29,technical,low,0,German
Electrician,Architect,22,False,False,not urgent and not important,2019-11-15,2019-11-15 11:31:13,technical,low,0,Spanish
Contractor,Architect,113,False,False,not urgent and not important,1991-10-10,1991-10-10 05:34:45,technical,high,0,English
architect,architect,11,False,True,not urgent and important,1970-01-01,1970-01-01 00:00:00,financial,low,0,English
General Contractor,Architect,81,False,False,not urgent and not important,2021-03-29,2021-03-29 09:24:58,technical,high,0,English
Architect,Project Manager,24,False,False,not urgent and not important,2019-03-25,2019-03-25 07:48:13,logistical,low,0,Spanish
Architect,Construction Manager,116,False,False,not urgent and not important,2021-01-19,2021-01-19 08:09:19,administrative,high,0,English
Construction manager,Architect,252,False,False,not urgent and not important,1991-02-15,1991-02-15 15:03:28,technical,medium,0,English
Architect,Architect,169,False,False,not urgent and not important,2017-10-01,2017-10-01 06:44:27,technical,low,0,English
Owner,Owner,367,False,False,not urgent and not important,2018-06-04,2018-06-04 10:19:19,technical,low,0,English
ELECTRICIAN,ELECTRICIAN,27,False,False,not urgent and not important,2017-09-03,2017-09-03 02:10:00,technical,low,0,English
Laborer,Other,34,False,False,not urgent and not important,2013-09-10,2013-09-10 08:28:14,logistical,low,0,English
Electrician,Architect,270,False,False,not urgent and not important,1999-06-21,1999-06-21 15:57:04,technical,high,0,English
Project Manger,Project Manager,305,False,False,not urgent and not important,1998-04-17,1998-04-17 14:43:16,logistical,high,0,English
Subcontractor,Architect,124,False,False,not urgent and not important,1991-07-09,1991-07-09 15:19:07,technical,medium,0,English
Architect,Architect,19,False,False,not urgent and not important,2022-02-16,2022-02-16 00:00:00,administrative,low,0,English
Contractor,Owner,152,False,False,not urgent and not important,2015-06-02,2015-06-02 00:00:00,technical,medium,0,French
Construction Engineer,Client,205,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,German
Project Admin,Project Admin,75,False,False,not urgent and not important,1999-08-26,1999-08-26 18:20:09,logistical,medium,0,Spanish
Other,Other,27,False,False,not urgent and not important,2018-08-13,2018-08-13 11:39:00,logistical,low,0,Spanish
Electrician,Architect,38,False,False,not urgent and not important,1991-04-10,1991-04-10 14:14:00,logistical,low,0,French
Electrician,Electrician,4,False,False,not urgent and not important,2020-10-10,2020-10-10 14:57:47,logistical,medium,0,English
electrician,electrician,14,False,False,not urgent and not important,2018-04-12,2018-04-12 04:59:12,technical,medium,0,English
Architect,Architect,96,False,True,urgent and not important,1995-07-12,1995-07-12 11:20:57,technical,high,0,English
Architect,Electrician,245,False,False,not urgent and not important,1988-04-14,1988-04-14 08:02:58,technical,medium,1,Spanish
Architect,Architect,189,False,False,not urgent and not important,2022-11-22,2022-11-22 00:26:21,technical,low,0,English
Contractor,Contractor,217,False,False,not urgent and not important,2020-01-23,2020-01-23 06:12:51,technical,low,0,Spanish
other,electrical,33,False,False,not urgent and not important,2017-04-19,2017-04-19 15:28:24,financial,medium,0,English
architect,architect,42,False,False,not urgent and not important,2015-04-19,2015-04-19 12:00:48,technical,low,0,English
Contractor,Owner,193,False,False,not urgent and not important,1999-08-02,1999-08-02 18:26:14,administrative,low,0,English
Subject Matter Expert,Project Manager,196,True,False,not urgent and important,2019-12-04,2019-12-04 06:22:06,technical,high,0,English
Contractor,Contractor,482,False,False,not urgent and not important,2012-05-15,2012-05-15 00:00:00,technical,low,1,Spanish
Architect,Architect,37,False,False,not urgent and not important,2020-09-04,2020-09-04 09:24:14,administrative,medium,0,English
architect,electrician,117,False,False,not urgent and not important,2019-01-28,2019-01-28 14:15:58,technical,low,0,English
Architect,Electrician,322,False,True,not urgent and important,1998-10-01,1998-10-01 13:01:04,administrative,medium,0,English
Architect,Client,114,False,False,not urgent and not important,1990-11-14,1990-11-14 00:47:17,financial,high,0,English
Electrician,Electrician,86,True,False,not urgent and not important,2014-09-04,2014-09-04 08:27:06,technical,high,0,English
General Contractor,Claims Administrator,1211,False,False,not urgent and not important,2019-09-05,2019-09-05 09:40:46,administrative,medium,0,English
Architect,Architect,31,False,False,not urgent and not important,1997-05-01,1997-05-01 15:44:50,technical,medium,0,English
Contractor,Contractor,349,False,False,not urgent and not important,2018-07-12,2018-07-12 15:43:57,technical,medium,0,English
Electrician,Electrician,269,False,False,not urgent and not important,2022-09-12,2022-09-12 00:20:00,technical,medium,0,English
Contractor,Project Manager,427,False,False,not urgent and not important,1986-04-30,1986-04-30 01:31:51,logistical,medium,0,English
Vendor,Vendor,12,False,False,not urgent and not important,1993-09-01,1993-09-01 02:12:57,administrative,high,0,German
Electrician,Architect,251,False,False,not urgent and not important,1970-01-17,1970-01-17 00:00:00,technical,high,1,English
Electrician,Architectural engineering,81,False,False,not urgent and not important,1999-09-27,1999-09-27 18:42:47,administrative,medium,0,English
Electrical,Architect,135,False,False,not urgent and not important,1998-08-31,1998-08-31 17:32:31,technical,medium,0,English
Consultant,Electrician,283,False,False,not urgent and not important,2019-05-10,2019-05-09 11:11:00,logistical,medium,0,Spanish
architect,architect,31,False,False,not urgent and not important,1997-03-13,1997-03-13 14:39:19,technical,medium,0,English
Architect,Electrician,37,False,False,not urgent and not important,2019-10-18,2019-10-18 09:40:14,technical,high,0,Spanish
Architect,Owner,23,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,medium,0,English
Electrician,Architect,109,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,English
Superintendent,Superintendent,274,False,False,not urgent and not important,2023-06-14,2023-06-14 02:08:04,logistical,low,0,English
Electrician,Electrician,206,False,False,not urgent and not important,2017-10-23,2017-10-23 14:03:55,technical,medium,1,French
Architect,Insurance,135,False,False,not urgent and not important,2016-01-22,2016-01-22 11:12:37,technical,medium,0,Spanish
Architectural/Structural,Architectural/Structural,197,False,False,not urgent and not important,2019-08-08,2019-08-08 09:57:09,technical,high,0,English
Contractor,Owner,104,False,False,not urgent and not important,2017-05-31,2017-05-31 05:15:06,administrative,low,0,English
Electrician,Electrician,1315,False,False,not urgent and not important,1997-06-17,1997-06-17 15:13:00,technical,low,0,English
Architect,Architect,96,True,False,not urgent and not important,1999-05-29,1999-05-29 13:36:27,technical,high,1,English
Owner,Owner,179,False,False,not urgent and not important,2016-11-08,2016-11-08 16:28:09,administrative,medium,0,English
Architect,Electrician,54,False,False,not urgent and not important,2019-10-17,2019-10-17 07:26:15,technical,medium,0,English
Architect,Architect,34,False,False,not urgent and not important,2014-05-07,2014-05-07 10:32:39,administrative,medium,0,English
Electrician,Electrician,130,False,False,not urgent and not important,1969-08-23,1969-08-23 10:20:00,technical,low,0,English
Architect,Architect,184,False,False,not urgent and not important,1994-12-20,1994-12-20 17:19:47,logistical,low,0,English
Electrician,Electrician,44,False,False,not urgent and not important,2019-09-04,2019-09-04 10:40:02,technical,medium,0,English
Architect,Electrician,57,False,False,not urgent and not important,1993-04-20,1993-04-20 15:40:44,technical,low,0,English
Electrician,Architect,101,False,False,not urgent and not important,1994-07-29,1994-07-29 09:50:30,technical,high,0,English
Electrician,Architect,172,False,False,not urgent and not important,2011-11-14,2011-11-14 13:28:10,technical,low,1,English
Architect,Electrician,14,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,German
Electrician,Architect,21,False,False,not urgent and not important,1997-08-24,1997-08-24 17:16:36,financial,low,0,French
Plumber,Mechanical,289,False,True,not urgent and important,1992-10-14,1992-10-14 14:51:33,administrative,high,0,Spanish
electrician,architect,22,False,False,not urgent and not important,1997-04-28,1997-04-28 14:25:00,technical,low,0,English
architect,architect,11,False,False,not urgent and not important,2019-08-15,2019-08-15 09:25:14,technical,medium,0,Spanish
contractor,subcontractor,189,False,False,not urgent and not important,2016-10-06,2016-10-06 12:08:15,technical,low,0,French
Electrician,Architect,16,False,False,not urgent and not important,1997-01-24,1997-01-24 14:07:35,technical,medium,0,English
Subcontractor,Architect,175,False,False,not urgent and not important,1997-02-11,1997-02-11 11:46:56,administrative,low,0,English
architect,architect,43,False,False,not urgent and not important,1994-01-19,1994-01-19 13:20:57,technical,high,0,English
Subcontractor,Architect,449,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,administrative,medium,0,English
Architect,Electrician,27,False,False,not urgent and not important,2020-12-08,2020-12-08 11:18:32,technical,high,0,English
electrician,electrician,48,False,False,not urgent and not important,2016-11-11,2016-11-11 11:54:19,administrative,low,0,Spanish
Electrician,Electrician,80,False,False,not urgent and not important,1996-05-07,1996-05-07 02:23:32,logistical,low,0,English
Electrician,Architect,11,False,False,not urgent and not important,1900-01-01,2020-09-08 09:19:48,administrative,low,0,English
Electrician,Electrician,218,False,False,not urgent and not important,2022-04-29,2022-04-29 00:00:00,technical,low,0,English
Inspector,Lender,271,False,False,not urgent and not important,2018-02-07,2018-02-07 13:58:56,technical,medium,1,Spanish
Architect,Supervisor,154,True,False,not urgent and important,1992-02-16,1992-02-16 07:54:56,technical,high,1,Spanish
electrician,architect,123,False,False,not urgent and not important,1997-04-11,1997-04-11 09:32:47,administrative,medium,0,English
Electrician,Architect,153,False,False,not urgent and not important,2020-05-15,2020-05-15 09:15:51,technical,medium,0,English
Electrician,Electrician,182,True,False,not urgent and important,2021-12-03,2021-12-02 17:28:44,technical,medium,0,Spanish
Architect,Electrician,505,False,False,not urgent and not important,2019-04-19,2019-04-19 16:07:44,technical,medium,0,English
Contractor,Homeowner,1207,False,False,urgent and not important,2013-03-28,2013-03-28 10:31:55,technical,high,0,English
Contractor,Architect,24,False,False,not urgent and not important,1955-11-12,1955-11-12 14:12:40,technical,medium,0,English
Electrician,Architect,11,False,False,not urgent and not important,2020-02-27,2020-02-27 16:50:28,technical,high,0,English
architect,architect,301,False,False,not urgent and not important,2019-12-12,2019-12-12 13:50:09,logistical,medium,0,Spanish
Electrician,Architect,94,False,False,not urgent and not important,1999-07-26,1999-07-26 18:48:12,technical,medium,0,English
Electrician,Electrician,108,False,False,not urgent and not important,1950-01-02,1950-01-02 16:25:59,technical,high,0,Spanish
owner,architect,10,False,False,not urgent and not important,2016-08-10,2016-08-10 09:13:20,technical,medium,0,English
Subcontractor,Architect,42,False,False,not urgent and not important,2019-09-05,2019-09-05 10:12:22,technical,medium,0,English
Architect,Architect,362,False,False,not urgent and not important,2019-07-15,2019-07-15 18:13:28,technical,medium,1,French
Electrician,Electrician,46,False,False,not urgent and not important,2020-09-19,2020-09-19 00:00:00,technical,low,0,English
Architect,Subcontractor,135,False,False,not urgent and not important,1970-01-17,1970-01-17 18:01:50,technical,medium,0,Spanish
Architect,Electrician,331,True,False,urgent and not important,2018-03-16,2018-03-16 15:01:04,logistical,medium,0,English
Subcontractor,Architect,29,False,False,not urgent and not important,1991-01-03,1991-01-03 10:08:50,logistical,high,0,English
Electrician,Electrician,164,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,low,0,English
Architect,Electrician,123,True,False,not urgent and important,1997-06-16,1997-06-16 09:59:36,technical,high,1,English
Electrician,Electrician,47,False,False,not urgent and not important,2019-03-26,2019-03-26 08:14:11,technical,high,0,English
Subcontractor,Architect,116,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,administrative,medium,0,English
Architect,Project Manager,194,False,False,not urgent and not important,1993-05-23,1993-05-23 20:54:35,technical,medium,0,English
Contractor,Contractor,137,False,False,not urgent and not important,1995-03-01,1995-03-01 09:21:40,technical,low,0,Spanish
General Contractor,Supplier,19,False,False,not urgent and not important,2018-05-15,2018-05-15 20:07:48,financial,high,0,German
Contractor,Client,51,False,False,not urgent and not important,1999-07-01,1999-07-01 13:05:14,administrative,low,0,English
Electrician,Architect,24,False,False,not urgent and not important,2016-08-13,2016-08-13 18:41:43,technical,high,0,English
electrician,architect,33,False,False,not urgent and not important,2022-03-16,2022-03-16 19:27:59,technical,low,0,English
Architect,Electrician,239,False,False,not urgent and not important,2014-06-16,2014-06-16 19:11:24,technical,high,0,English
Architect,Electrician,37,False,False,not urgent and not important,1996-01-04,1996-01-04 09:48:33,administrative,low,0,English
Electrician,Electrician,7,False,False,not urgent and not important,2019-04-18,2019-04-18 12:38:11,technical,medium,0,English
Engineer,Engineer,240,False,False,not urgent and not important,2018-08-27,2018-08-27 08:30:42,technical,medium,0,English
Architect,Architect,171,False,False,not urgent and not important,2014-09-22,2014-09-22 20:25:03,administrative,low,0,Spanish
Subcontractor,Subcontractor,56,False,False,not urgent and not important,2014-06-16,2014-06-16 08:40:32,technical,medium,0,English
Electrician,General Contractor,68,False,False,not urgent and not important,1999-05-16,1999-05-16 12:39:45,technical,high,0,English
Electrician,Architect,139,False,False,not urgent and not important,2020-09-03,2020-09-03 04:02:56,technical,high,0,Spanish
Electrical,Architect,112,False,False,not urgent and not important,2021-10-20,2021-10-20 09:17:51,technical,medium,0,English
Electrician,Electrician,11,False,False,not urgent and not important,1993-01-11,1993-01-11 13:50:00,technical,high,0,Spanish
Architect,Architect,1224,False,False,not urgent and not important,2018-04-20,2018-04-20 00:17:11,technical,medium,0,Spanish
Architect,Architect,144,False,False,not urgent and not important,2013-03-17,2013-03-17 17:58:55,technical,low,0,Spanish
Architect,Owner,92,False,False,not urgent and not important,1995-02-02,1995-02-02 15:32:57,logistical,low,0,English
Insurance,Insurer,2269,True,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,administrative,low,1,French
Mechanic,Mechanic,124,False,False,not urgent and not important,1900-01-01,2016-12-23 13:34:24,logistical,medium,0,English
Electrician,Electrician,55,False,False,not urgent and not important,1997-06-17,1997-06-17 21:00:00,technical,medium,0,English
General contractor,Owner,65,False,False,not urgent and not important,2020-05-01,2020-05-01 10:21:11,logistical,high,0,French
electrician,electrician,127,False,False,not urgent and not important,2020-07-10,2020-07-09 14:54:04,logistical,low,0,German
Electrician,Architect,232,False,False,not urgent and not important,2023-03-08,2023-03-08 19:14:57,technical,low,0,Spanish
architect,electrician,129,False,False,not urgent and not important,1996-01-25,1996-01-25 16:01:57,technical,high,0,French
Electrician,Architect,183,False,False,not urgent and not important,2019-04-28,2019-04-28 10:50:18,technical,high,0,Spanish
Electrician,Architect,13,False,False,not urgent and not important,2019-03-20,2019-03-20 12:13:39,technical,medium,0,English
Contractor,Contractor,19,False,False,not urgent and not important,1996-06-26,1996-06-26 12:54:58,administrative,low,0,English
Architect,Electrician,109,False,False,not urgent and not important,1925-01-04,1925-01-04 03:20:36,technical,low,0,English
electrician,architect,192,False,False,not urgent and not important,2006-06-18,2006-06-17 17:59:09,technical,low,0,German
Electrician,Architect,211,False,False,not urgent and not important,2020-06-26,2020-06-26 14:54:48,administrative,low,0,English
Electrician,Electrician,12,False,False,not urgent and not important,1911-05-16,1911-11-16 15:30:56,technical,high,0,English
Operations Manager,Architect,161,False,False,not urgent and not important,1981-01-03,1981-01-03 07:24:42,logistical,medium,0,English
Construction Manager,Project Manager,247,True,False,urgent and not important,2015-04-08,2015-04-08 00:00:00,logistical,high,0,English
Landscape Contractor,Property Management,18,False,False,not urgent and not important,1996-10-11,1996-10-11 09:02:47,technical,medium,0,English
Electrician,Architect,13,False,False,not urgent and not important,2019-03-24,2019-03-24 14:51:30,technical,medium,0,French
Electrician,Owner,227,False,False,not urgent and not important,1983-08-27,1983-08-27 09:31:29,technical,medium,0,English
Electrician,Architect,146,False,False,not urgent and not important,2018-10-18,2018-10-18 09:16:35,logistical,high,0,Spanish
architect,electrician,147,False,False,not urgent and not important,1990-03-06,1990-03-06 10:52:45,technical,medium,0,English
Electrician,Architect,11,False,False,not urgent and not important,1970-01-18,1970-01-18 00:00:00,technical,medium,0,Spanish
Architect,Electrician,189,False,False,not urgent and not important,1995-10-27,1995-10-27 07:23:15,technical,medium,0,German
Architect,Architect,279,False,False,not urgent and not important,1997-02-28,1997-02-28 10:04:09,technical,high,0,English
Architect,Electrician,289,False,False,not urgent and not important,2018-04-10,2018-04-10 13:33:51,technical,medium,1,French
Subcontractor,General Contractor,192,False,False,not urgent and not important,2010-04-03,2010-04-03 15:57:00,logistical,low,0,Spanish
Electrician,Electrician,105,False,False,not urgent and not important,2021-09-28,2021-09-28 09:42:55,technical,medium,0,German
Architect,Architect,114,False,False,not urgent and not important,1980-03-31,1980-03-31 16:01:53,technical,high,0,Spanish
Landscape Architect,Tile Installer,247,False,False,not urgent and not important,2019-03-27,2019-03-27 13:39:37,technical,medium,0,English
Electrician,Architect,145,False,False,not urgent and not important,2017-09-30,2017-09-30 13:38:53,technical,low,0,English
Architect,Architect,124,False,False,not urgent and not important,2021-04-22,2021-04-22 10:49:22,technical,low,0,English
Electrician,Electrician,27,False,False,not urgent and important,2020-05-08,2020-05-08 16:04:16,technical,high,2,English
Electrician,Electrician,308,True,False,not urgent and not important,1970-01-17,1970-01-17 00:00:00,technical,medium,1,English
Electrician,Architect,66,False,False,not urgent and not important,1999-09-28,1999-09-28 12:37:28,logistical,high,0,English
electrician,electrician,119,False,False,not urgent and not important,1983-11-17,1983-11-17 10:05:09,financial,high,0,Spanish
Architect,Electrician,100,False,False,not urgent and important,2015-07-22,2015-07-22 01:05:42,technical,medium,0,French
Architect,General Contractor,41,False,False,not urgent and not important,2016-09-02,2016-09-02 02:28:58,technical,medium,0,Spanish
Architect,General Contractor,138,False,False,not urgent and not important,2018-03-26,2018-03-26 13:55:21,technical,medium,0,English
Architect,Engineer,341,False,False,not urgent and not important,2015-08-20,2015-08-20 13:38:17,technical,medium,0,English
Electrician,Electrician,158,False,False,not urgent and not important,2007-10-24,2007-10-24 01:22:43,technical,low,0,German
Electrician,Electrician,64,False,False,not urgent and not important,2018-09-17,2018-09-17 11:45:53,technical,medium,0,Spanish
Architect,Owner,557,False,False,not urgent and not important,2018-06-15,2018-06-15 09:55:06,administrative,medium,0,English
insurance agent,insurance agent,185,False,False,not urgent and not important,1989-03-15,1989-03-15 11:13:07,administrative,low,0,English
Contractor,Electrician,272,False,False,not urgent and not important,2016-09-16,2016-09-16 11:43:35,technical,medium,1,English
Electrician,Electrician,4,False,False,not urgent and not important,2018-04-06,2018-04-06 18:41:06,administrative,low,0,Spanish
Electrician,Electrician,373,True,True,urgent and important,2021-12-17,2021-12-17 17:39:17,technical,high,0,German
Architect,Electrician,69,False,False,not urgent and not important,1999-06-14,1999-06-14 16:46:58,technical,medium,0,English
electrician,electrician,210,False,False,not urgent and not important,2017-01-06,2017-01-06 15:37:30,technical,medium,0,Spanish
General Contractor,Project Manager,33,False,False,not urgent and not important,2020-11-11,2020-11-11 18:44:12,financial,low,0,English
Electrician,Architect,59,False,False,not urgent and not important,1995-05-15,1995-05-15 15:14:04,technical,low,0,English
Electrical Engineer,Architect,21,True,False,not urgent and not important,2020-05-14,2020-05-14 17:37:29,logistical,medium,0,English
Architect,Construction Worker,250,False,False,not urgent and not important,2021-07-13,2021-07-13 13:06:16,technical,low,0,English
Project Manager,Project Manager,22,False,False,not urgent and not important,1994-03-09,1994-03-09 04:01:18,technical,low,0,English
Architect,Site Supervisor,109,False,False,not urgent and not important,1999-04-12,1999-04-12 10:35:28,technical,low,0,English
architect,architect,103,False,False,not urgent and not important,1969-12-24,1969-12-24 00:00:00,technical,low,0,English
Contractor,Contractor,136,False,False,not urgent and not important,1999-04-29,1999-04-29 19:20:43,financial,high,0,English
Architect,Electrician,103,False,False,not urgent and not important,2018-03-21,2018-03-20 13:22:11,technical,high,0,English
Engineer,Electrician,137,False,False,not urgent and not important,2021-10-07,2021-10-07 14:21:57,technical,medium,0,English
architect,electrician,14,False,False,not urgent and not important,2021-02-05,2021-02-05 11:57:37,technical,medium,0,German
Electrician,Architect,105,False,False,not urgent and not important,1985-10-25,1985-10-25 19:19:20,technical,medium,0,English
Architect,Architect,350,True,False,not urgent and not important,1988-04-21,1988-04-21 11:19:19,financial,high,5,English
Architect,Electrician,119,False,False,not urgent and not important,1999-12-08,1999-12-08 19:19:11,technical,medium,1,English
Architect,Architect,171,False,False,not urgent and not important,1996-04-09,1996-04-09 07:26:09,administrative,low,0,Spanish
Owner,Electrical Subcontractor,338,False,False,not urgent and not important,1995-10-26,1995-10-26 15:44:48,technical,low,1,English
Electrician,Architect,172,True,False,urgent and important,1994-02-16,1994-02-16 16:52:16,technical,high,0,English
Project Manager,Project Manager,1010,False,False,not urgent and not important,1986-01-12,1986-01-12 16:41:42,technical,medium,0,English
engineer,architect,76,False,False,urgent and not important,2018-07-04,2018-07-04 20:24:52,administrative,high,1,English
Architect,Architect,454,False,False,not urgent and not important,1998-06-20,1998-06-20 12:55:12,logistical,low,0,English
Electrician,Architect,26,False,False,not urgent and not important,2022-04-22,2022-04-22 10:46:02,technical,medium,0,English
Superintendent,Project Manager,21,False,False,not urgent and not important,1990-01-01,1990-01-01 21:31:05,administrative,medium,0,English
Architect,Electrician,102,False,False,not urgent and not important,1987-10-03,1987-10-03 12:22:22,financial,low,0,German
Architect,Architect,23,False,False,not urgent and not important,2019-10-25,2019-10-25 09:53:20,logistical,low,0,English
Architect,Architect,93,False,False,not urgent and not important,2020-06-16,2020-06-16 09:17:31,technical,low,0,Spanish
Architect,Electrician,96,False,False,not urgent and not important,2018-12-15,2018-12-15 07:54:39,technical,medium,0,English
Contractor,Contractor,121,False,False,not urgent and not important,1992-04-17,1992-04-17 04:32:00,technical,medium,0,English
Contractor,Owner,50,False,False,not urgent and not important,2021-09-01,2021-09-01 11:00:29,technical,medium,0,English
Supervisor,Electrical Engineer,519,False,False,not urgent and not important,1999-09-28,1999-09-28 16:40:10,technical,low,0,English
Architect,Electrician,133,False,False,not urgent and not important,1997-12-09,1997-12-09 15:15:00,technical,low,0,German
General,Contractor,207,False,False,not urgent and important,1998-07-16,1998-07-16 11:06:26,technical,medium,0,Spanish
Consultant,Sales,402,False,False,not urgent and not important,2022-07-08,2022-07-08 16:17:33,logistical,medium,0,English
Owner,Owner,120,False,False,not urgent and not important,2021-05-11,2021-05-11 03:37:43,logistical,medium,0,English
Architect,Electrician,186,False,False,not urgent and not important,1986-06-19,1986-06-19 18:20:52,technical,high,0,English
Electrician,Architect,127,False,True,urgent and important,1983-07-14,1983-07-14 02:03:40,financial,medium,0,English
Electrician,Electrician,85,False,False,not urgent and not important,2019-08-09,2019-08-09 10:20:41,technical,medium,0,Spanish
architect,architect,155,False,False,not urgent and not important,1996-08-08,1996-08-08 10:05:26,financial,medium,1,English
electrician,electrician,114,False,False,not urgent and not important,2022-10-07,2022-10-07 12:36:45,technical,low,0,English
Electrician,Architect,160,False,False,not urgent and not important,2016-10-17,2016-10-17 15:46:32,technical,low,0,Spanish
electrician,architect,48,False,False,not urgent and not important,2019-03-21,2019-03-21 01:11:53,logistical,low,0,Spanish
Electrician,Project Manager,132,False,False,not urgent and not important,2019-04-26,2019-04-26 19:48:38,technical,medium,0,English
Architect,Architect,850,False,False,not urgent and not important,2018-06-19,2018-06-19 09:55:52,logistical,low,0,English
Electrician,Project Manager,227,False,False,not urgent and not important,2021-07-08,2021-07-07 13:09:33,technical,medium,0,English
Architect,Architect,149,False,False,not urgent and not important,2019-01-30,2019-01-30 11:19:28,technical,high,1,English
Insurance,Insurance,108,False,False,not urgent and not important,2019-03-26,2019-03-26 09:44:31,logistical,low,0,Spanish
Electrician,Electrician,66,True,False,not urgent and not important,1986-10-27,1986-10-27 09:40:02,technical,low,0,English
Architect,Electrician,201,False,False,not urgent and not important,1999-05-13,1999-05-13 15:16:26,administrative,low,0,Spanish
Electrician,Electrician,31,False,False,not urgent and not important,1993-09-02,1993-09-02 10:34:55,technical,high,0,English
Electrician,Electrician,102,False,False,not urgent and not important,2016-07-07,2016-07-07 08:58:20,logistical,medium,0,English
Architect,Electrician,138,False,False,not urgent and not important,2023-03-25,2023-03-25 11:58:54,financial,medium,0,English
Electrician,Electrician,10,False,False,not urgent and not important,1999-01-25,1999-01-25 08:54:00,logistical,low,0,English
Electrician,Electrician,74,False,False,not urgent and not important,1968-04-19,1968-04-19 13:12:34,technical,low,0,English
Electrician,Architect,214,False,False,not urgent and not important,1998-03-27,1998-03-27 16:16:54,technical,low,1,Spanish
Electrical,Architect,87,False,True,urgent and important,2019-04-29,2019-04-29 12:38:36,technical,low,0,English
Architect,Architect,20,False,False,not urgent and not important,1999-07-02,1999-07-02 17:05:58,technical,low,0,Spanish
Electrician,Architect,18,False,False,not urgent and not important,2019-10-24,2019-10-24 09:56:19,technical,medium,0,English
Engineer,Engineer,217,False,False,not urgent and not important,1990-09-10,1990-09-10 14:25:29,technical,high,0,English
Architect,Electrician,331,False,False,not urgent and not important,2018-12-06,2018-12-06 09:58:44,administrative,low,0,German
Architect,Electrician,91,False,False,not urgent and not important,2022-10-05,2022-10-05 16:22:22,technical,low,0,English
Electrician,Architect,119,False,False,not urgent and not important,2022-01-29,2022-01-29 05:44:36,technical,high,0,English
Architect,Electrician,215,False,False,not urgent and not important,1993-05-28,1993-05-28 10:54:31,technical,medium,0,English
Architect,Architect,49,False,False,not urgent and not important,1995-01-05,1995-01-05 12:57:41,logistical,low,0,English
Architect,Electrician,284,False,False,not urgent and not important,1981-09-01,1981-09-01 08:20:21,technical,low,0,English
Architect,Superintendent,196,False,False,not urgent and not important,1900-01-01,1900-01-01 00:00:00,technical,medium,0,English
Consultant,Contractor,202,False,False,not urgent and not important,2021-06-03,2021-06-03 12:39:36,administrative,high,0,Spanish
Electrician,Architect,1,True,False,urgent and not important,1969-01-01,1969-01-01 14:21:23,technical,medium,0,English
Electrician,Architect,30,False,False,not urgent and not important,2019-12-10,2019-12-10 19:00:20,technical,low,0,English
architect,architect,0,False,False,not urgent and important,2015-10-12,2015-10-12 01:23:47,technical,low,0,English
Supplier,Project Manager,289,False,False,not urgent and important,2016-09-13,2016-09-12 19:42:12,logistical,medium,0,English
Contractor,Architect,31,False,False,not urgent and not important,1900-01-01,1900-01-01 00:00:00,technical,medium,0,French
General Contractor,Owner,157,False,False,not urgent and not important,2019-10-21,2019-10-21 10:15:12,administrative,medium,0,English
architect,electrician,133,False,False,not urgent and not important,1999-08-26,1999-08-26 16:48:10,technical,medium,0,English
electrician,electrician,105,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,English
Electrician,Architect,340,False,False,not urgent and not important,2020-02-05,2020-02-05 12:40:37,logistical,low,0,English
Owner,Owner,314,False,False,not urgent and not important,1991-05-11,1991-05-11 20:27:32,administrative,low,0,English
Consultant,Contractor,267,False,False,not urgent and not important,1998-01-02,1998-01-02 15:50:23,technical,high,1,English
architect,electrician,31,False,False,not urgent and not important,1990-06-21,1990-06-21 08:24:59,technical,medium,0,English
Subcontractor,General Contractor,22,False,False,urgent and important,1999-03-02,1999-03-02 09:05:18,technical,medium,0,English
Architect,Contractor,35,False,False,not urgent and not important,2022-02-27,2022-02-27 23:51:55,technical,medium,0,Spanish
Architect,Contractor,112,False,False,not urgent and not important,2016-06-21,2016-06-21 10:27:29,technical,low,0,Spanish
Architect,Electrician,73,False,False,not urgent and not important,1937-11-22,1937-11-22 09:22:00,technical,low,0,English
Architect,Consultant,255,False,True,not urgent and important,2017-04-03,2017-04-03 09:41:32,technical,low,0,German
Electrician,Developer,108,False,False,not urgent and not important,2021-01-07,2021-01-07 11:18:36,technical,medium,1,English
Subcontractor,Architect/Engineer,1576,False,False,not urgent and not important,2019-04-08,2019-04-08 05:19:56,technical,high,0,French
Architect,Architect,105,False,False,not urgent and not important,1986-05-15,1986-05-15 09:02:55,financial,high,0,German
Architect,Electrician,189,False,False,not urgent and not important,1997-07-10,1997-07-10 00:00:00,logistical,high,0,English
Estimator,Architect,163,False,False,not urgent and not important,1998-08-11,1998-08-11 14:46:46,administrative,medium,0,English
